datetime,holiday,workingday,temp,humidity,windspeed,season,weather,Calls
1/1/2014 00:00,0,0,9.84,81,0,1,1,1
1/1/2014 01:00,0,0,9.02,80,0,1,1,1
1/1/2014 02:00,0,0,9.02,80,0,1,1,1
1/1/2014 03:00,0,0,9.84,75,0,1,1,1
1/1/2014 04:00,0,0,9.84,75,0,1,1,1
1/1/2014 05:00,0,0,9.84,75,2.57,1,2,1
1/1/2014 06:00,0,0,9.02,80,0,1,1,1
1/1/2014 07:00,0,0,8.2,86,0,1,1,1
1/1/2014 08:00,0,0,9.84,75,0,1,1,1
1/1/2014 09:00,0,0,13.12,76,0,1,1,1
1/1/2014 10:00,0,0,15.58,76,16.9979,1,1,3
1/1/2014 11:00,0,0,14.76,81,19.0012,1,1,4
1/1/2014 12:00,0,0,17.22,77,19.0012,1,1,6
1/1/2014 13:00,0,0,18.86,72,20,1,2,6
1/1/2014 14:00,0,0,18.86,72,19.0012,1,2,7
1/1/2014 15:00,0,0,18.04,77,20,1,2,7
1/1/2014 16:00,0,0,17.22,82,20,1,2,6
1/1/2014 17:00,0,0,18.04,82,19.0012,1,2,5
1/1/2014 18:00,0,0,17.22,88,16.9979,1,3,3
1/1/2014 19:00,0,0,17.22,88,16.9979,1,3,3
1/1/2014 20:00,0,0,16.4,87,16.9979,1,2,3
1/1/2014 21:00,0,0,16.4,87,9.998,1,2,3
1/1/2014 22:00,0,0,16.4,94,13.0013,1,2,2
1/1/2014 23:00,0,0,18.86,88,20,1,2,3
1/2/2014 00:00,0,0,18.86,88,20,1,2,2
1/2/2014 01:00,0,0,18.04,94,16.9979,1,2,2
1/2/2014 02:00,0,0,17.22,100,19.0012,1,2,1
1/2/2014 03:00,0,0,18.86,94,9.998,1,2,1
1/2/2014 04:00,0,0,18.86,94,9.998,1,2,1
1/2/2014 06:00,0,0,17.22,77,20,1,3,1
1/2/2014 07:00,0,0,16.4,76,9.998,1,2,1
1/2/2014 08:00,0,0,16.4,71,13.0013,1,3,1
1/2/2014 09:00,0,0,15.58,76,13.0013,1,2,2
1/2/2014 10:00,0,0,14.76,81,13.0013,1,2,4
1/2/2014 11:00,0,0,14.76,71,16.9979,1,2,5
1/2/2014 12:00,0,0,14.76,66,20,1,2,6
1/2/2014 13:00,0,0,14.76,66,5.9981,1,2,4
1/2/2014 14:00,0,0,14.76,76,9.998,1,3,4
1/2/2014 15:00,0,0,13.94,81,7.0014,1,3,5
1/2/2014 16:00,0,0,13.94,71,7.0014,1,3,5
